fecha_publicacion,termino,vistas,text,idioma,polaridad,num_palabras
2025-01-10,debate_de,6227,supón justo trabajo pago vo crees trabajo peor pago mujer cuestión género vo crees peor pago negro negro justo trabajo mujer vo crees negro mujer justo trabajo querer empleado doméstico decir hombre decir preguntar limpiar perfecto pagar hombre pondrir blanco pagar trabajo ir desear mujer desear mujer salida laboral serio vo sos emplear doméstico batalla cultural pregunta pregunta aclarar él batalla cultural simplemente debatir idea lograr idea ganar terreno nivel cultural considerar idea progresista permear cultura justamente universidad art política creer idea escuchar considerar idea correcto batalla progresismo batalla idea batalla contralio progresismo llevándono progreso batalla mala idea punto vista ejemplo ejemplo progresismo progresar mala idea ejemplo ley sustentar hablábar programa autodeterminación autoparcepción realidad atrasar llevándono legalizar cuestión creencia sensación lugar conocimiento científico evidencia observable atraso,es,0,126
2023-06-22,lo_malo_de_iphone,120000,tipo iphonir utiliza gustar criticar desliza deslizastir utiliza versión iphone mini significar básicamente personita medir 1.60 m tener mano súper pequeño entender alcanzar pantallito tener visión águila utiliza iphone special edition poner nombre farol justificar estar usar iphone botón pleno 2023 hermano vergüenza sacar lugar público tristeza lástima ver gana 1.100 semana habl utiliza iphone base significar gustar llamar atención conformar teléfono color prefier color bonito gustar 3 cámara pro significar sencillo humilde necesitar utiliza iphone base plus déjame regañarte neto tenía esgastar 2.000 pesos pro mentada madre durar batería mentada madre utiliza iphone pro base significar básicamente gustar llamar atención gustar dispositivo pequeño tecnología significar persona coda costar pagar pro max tener iphone pro max déjame felicitarte neta vivir latinoamérica neta tener él puesto cosa bolsillo traer suru bolsa cualquiera respeto,es,0,132
2023-11-06,lo_malo_de_mexico,14100,zona recomendar turismo entrar entender zona comentar punta juárez famoso hablar zona vayar pasar ir ir zona cabrón elemento desgraciadamente eta fragmentar célula abatimiento líder empezar fragmentar célula querer pedazo tamablita anteriormente cártel pelear tamablita cártel importante cártel golfo cártel eta difícil recurso mantener guerra pelea plaza empezar cosa secuestrar gente pedir dinero turista gente turista nativo país punto gente persona ir agarrar pedir dólares pedir euros pagar ciudad juárez tamablita ciudad juárez pregunta frontera frontera unidos cerca frontera redón ciudad jugar tocar ciudad juárez zona tamablita ejemplo habitual tiroteo pleno luz calle pasar poder tiroteo normal tamablita normal michoacán michoacán normal torrión gente acostumbrado tiroteo enfrentamiento fuerte poder vídeo youtube muchísima cantidad material poder gente acostumbrado triste vivir vivir normalidad matar,es,0,122
2025-01-18,#opinion,23100,entender existir gente creer gurus tiktok volver multimillonario 20 año único volver él millonario comprar él curso persona persona enseñar millonario persona millonario gracias vender él idea volver millonario compran curso oír economía duro trabajo duro buscar trabajo ensalario complicado bruto mentira querer regañar él insultar él genuinamente poner lógica háganle caso persona haber construir negocio apuntar sistema piramidal literalmente fórmula rico fórmula tener pagar escalar gurus españa terrible salir acá oviar extensión persona inteligente negar punto ser humano ahorito plata rápido forma sistema tradicional defraudar comar cuento gente aprovechar inteligente volver millonario costa ilusionarlo cosa pasar seguidor persona gente comprar curso volver millonario favor caer cosa,es,0,107
2024-11-01,debate_de,34,gustar reforma judicial aprobar tiempo prir dinero faco dinero imagen corresponder video otorgado emilio soya fiscalía general república corresponder periodo 2013-2015 aprobar reforma energético enrique peño nieto deputado pan prd pacto méxico fallecido ir poner alfombra altar muerto prd resultar lana servir certa sesión negociación trato acuerdo curito gente votar seguir norma gente querer responder curioso fíjate foto maletita negro dinero onda sesión obr amarillo olvidar fíjate argumento politizar corte decir politizado desmentir,es,0,73
2025-01-07,crítica_de,117200,aristótel pensar mujer hombre inferior kant pensamiento racista schopenhauer decir mujer animal cabillolargo idea corto platón pensar esclavitud conveniente justo rousseau filósofo educación educación mujer relativo hombre gustarl serl útil hacer él amar honrar él creer filósofo filósofo filosofía discriminación odio machismo repetir frase filósofo filósofo cuestionir filósofo favorito creer criterio,es,0,51
2021-05-03,#opinion,19000,ver video decir hombre poder feminista personal apoyo feminismo forma entender necesidad hombre querer utilizar etiqueta feminista aliado identificar lucha malentiendar problema estructural sistemático relacionado machismo afectar hombre incapacidad mostrar sentimiento realidad actualmente apoyar feminismo daño mujer faltar respeto mujer quedar hombre necesidad cool reconocer grupo cometer daño alguien hombre pararno marcha llamarno feminista color morador trabajo hombre hombre interesar apoyar feminismo tener confrontar actitud machista gente rodear vas perder amigo necesitar etiqueta mujer necesitar aliado,es,0,76
2024-12-06,lo_bueno_de_ipn,20300,física crees física va boca ir ipn ter pendejo llegar pendejo creyéndote caso creer física sentistar golpecillo golpe realidad carta perdido ah top compa venir boca irrasar ir escuela notar notar machín ver generalmente gustar carrera,es,0,36
2024-07-27,crítica_de,208,gente criticar motivo pregunta ver toxicidad tiktok alarmante gente criticar razón atacándote espameándote etcétera gustar equiscoza vídeo subí tiktok tratar correr voz hacer película esquividi toilet persona tirar él mierdo esquividi toilet decir merecer dideir niño papás decir niño 8 año abajo personalmente afectar decir persona afectar presien gustar justo pensaría bur él gustar decir basura decir simplemente quitarar gustar costar simplemente respetar gustar querer respetar gustar digar coment responder pregunta gente criticar motivo simple vida aburrido atención padre enseñar valor simple frustrar gente feliz ver gustar molestar feliz esperar video hayas cambiado forma pensar respetar respeta mínimo ignorar tolerar escuchar vivir dejar vivir favor,es,0,105
2023-01-22,lo_malo_de_ipn,414,evitar trate reprobar favor forma bajar reprobar significar equis razón justifica reprobar valer volver acostumbre reprobar repasar materia señatar extravinal regularmente llevar materia reprobastir poder recursar abrir cupo alcanza lugar grupo abrir pareja materia meta tener checar decidir recursa ahorita met mes recursar mes material deber materia dejar meter art tener crédito crédito poder ahorito materia seriada ir escribir desfasar básicamente tener estrategia podría meter materia poder cupo abrir grupo semestre,es,0,71
2024-09-25,debate_de,289800,querer responder ver polla haber ver polla haber ver polla haber ver polla ah ventar retar contar tomar tomar pa coma abrir boquita abrir boquita cara serio haber divertir archivar dime archivar archivar archivar archivar dilo dilo haber pondre pregunta dilir archivar patético imbécil patético brecillo definir archivar responder pregunta poder pokémon tipo veneno perdón pollar poder pokémon tipo veneno rima literal ocurrir caso poder observar poder momento poder llamar alguien forma literalmente haber vivir olvidser sonir juicio,es,0,78
2023-12-05,lo_malo_de_iphone,378700,desventajar iphonir cargador básicamente juntar gente iphone va muerto tenés cable llevar cargador lado tenés aparato estar acá imagínatar bolsillo chavón entrar preguntar tenés coso adaptador triple normalmente iphonir cargador original venir ficha mar met acá entrar,es,0,37
2024-12-08,lo_malo_de_ipn,35,sentir politécnico ramsés culédo recomendariar persona meter politécnico onam adrevia chaval onam aguam aguam ciudad méxico preferencia politécnico,es,0,18
2022-01-27,lo_malo_de_ipn,935,preguntar reprovir materia semestre empezar padre reprobar materia reprobar materia juzgar ritmo reprobar materia venir informar acordar requisito necesario pedir dictamen esperar fecha recurso ingresar recurso ingresar recurso repetir semestre ventaja media superior semestre abierto cuarto quinto semestre semestre tener nivel superior par non querer recursamiento esperar él exactamente año recursar materia ensanimar reprobar materia padre línea presencial echanlir muchísimo gana apenar pasar gente cosa olvidar aplicar persona reglamento reglamento desfasir obviamente pedir dictamen recursamiento confundir esperar confundir él,es,0,79
2024-08-28,debate_de,121200,danar educar feminista querer bajar emmanuel declaración llamar atención elberto fernández fotografía particular tratamiento estético ojo gonzalo parte jack dios divertir aludir responder falacia domínez demasiado gracia acusar mono neuronal persona abortista identificar él sara connor entender terminator trama complejo historia sete muerte robot matar niño nacer madre proteste contrario esencia aborto querer rescatar acá señora hombre pene logro avance enorme feminismo actual montón señora defender acá ponto número mujer interrumpir mujer poder opinar aliado hablar nombre justamente pionera protofeminismo mujer nombré exactamente 5 minuto santa elegarda mujer patresciente iglesia católico allá asumir género indignado argentina cerrar ministerio mujer presidente fundador ministerio mujer resultar golpeador mujer embarazado explicar poner ministerio pretender resolver problemática mujer hablar letra concurso baile pasar pasar estadística feminicidio funcionamiento ministerio mujer aumentar explicar veníamos 30 mujer lamentablemente asesinado 30 hora funcionamiento ministerio mujer número aumentar mujer asesinado 26 hora señora interrumpir dar dato gente mononeuronal interesar ministerio mujer número volver descender mujer asesinado 30 hora esperar seguir descender laña forma descender criminalidad república argentino amiga patricia bullrich cerramos ministerio mujer salir luz red persona chaco vinculado directamente político socio presidente instalar ministerio mujer ministerio saber resolver descuartizamiento mujer chaco dar alimento cerdo ministerio mujer inútil contribuir gracias política cuyo ministra investigado justicia causa violencia género poético admitir públicamente ministerio servir bajar tasa feminicidio resolver problemática mujer pese costarno argentino millón millón pesos mes mención tópico tocado reitero trama terminator complejo robot matar niño nacer sar connor salvar verónicar pase verónica rocío hablar respetar favor hablar frente caso emblemático manuel danar influer él libertario argentino condenado judicialmente acorzar mujer trans dato mujer trans denunciar judicializar caso hablar dato gustar dato dar tratar dato falso retrucar dato falso caer respuesta venir persona judicializado maltratar persona trans frente dándono clás feminismo maltratador mujer persona decidir autoafirmación género querer auto determinación género lograr entender libertario panel frente frente hombre maltratador persona tran minoría gustar llamar derecha grupo especial atención señor golpeador deber acá maltratar persona tran pregunta gonzalo persona leo volver leer pregunta golpeador maltratador perdón perdón perdón salir colegio cuchigao salir colegio público necesitar terminar pasar vídeo decir programa invitar persona denunciado sentanciar judicialmente maltratar persona tran invitar programa terminar verónicar verónico verónicar verónicar déjamir terminar idea término esperar poquito esperar poquito interpelar información levantar pedir chequemo producción conversar abrimos panel distinto persona distinto opinión revisar pregunta retórico querer hacer jueguito pregunta retórico ah decir revícenmir papel verónica provisoslo favor terminar gonzalo judicializar acabar mandar producción certificado sent penal cualquiera descargar página registro nacional reincidencia sent penal señora entender invitar yo saber estamente condenado judicial salir país señora acusar golpeador acusar golpeador recurrir abogado enoje presentar demanda calumnia injuria operación mediático justicia vecinal justamente difamar disidente kiosco negocio ministerio género nacional ministerio provincial juzgado especializado vicalidad especializado taller curso género taller construcción masculina negocio agrandar llenar bolsillo burocrata político querer consejar meter mano bolsillo contribuyente producción certificado antecedente penal mostrar acá comer lindo juicio calumnia injuria bolsillo chile osavocade quedar lleno señor acusándomar mara oro dalir grabado señora bienvenido siglo xxi acabar gente ver cosa gonzalo cosa importante aguántenmir poquito mutéamelo muchacha ayúdenme chiqu ayúdenme favor chiques ayúdenme certificado antecedente penal ehh certificado antecedente penal estar decir acabar acusarme grave señora cosa entender entender vida acusar querer calidad aconsejalo exacto meter él mano bolsillo contugio salir plata pagar concesalir señora llamar suelto señor llamar suelto mutéame mutéame mutéame mutéamir favor escuentir vida mutéme mutéme mutéme bilatera bilatera conseguir armar crucecito conseguir eh verónicar verónicar desenchúfala pasar gobierno mila emono emono emono muchacho muchacho ayúdenme mujer tardar dar palabra rocío cantuaria coquito coquito pasito pase atrás coquitir acá hablen muchacho seguir programa verónicar muteo verónico muteo verónicar elbanco favor eh hablar rocío cantuaria llegar mañana muchacho ay mañana dar licencia médico querer hablar rocío cantuario emono emono emono hablar rocío cantuario problema dificultad ideología marcista promover señora insulto ver acá mononuronal ignorante insulto repetir problema problema grave persona ver solución ser humano ocurrir recordar hablar señora problema regla fuerza nivel delincuencia crimen organizado seguridad país ministra ocurrir carabinero actuar enfoque género preguntar él orientación sexual gallo tirar molotov cara solución persona pensar señora recordar 8 problema educación metar ideología género ah niñito prekinder problema dificultad salud mental niño joven metar hormona solución gente hormonización niño problema problema problema sistema político asegurémoslo débil víctima retardadita mental cuota escaño reservado mujer problema grave solución ocurrir ley república obligatorio ser humano señora cacariar discursear programa tele pedid tilly montón programa rato venir aburrir decir imaginar gente casa gente casa disfrutar fire circo romano entender cruce super personalidad pasar importar caso reivindicar hablar inicio pancho rego gente reír mañana ril conato larga ver mierda pensar diz vida seguir gente suponer representar trabajar decir cambiar vía querer sentar debate entender show televisión tratar compañera mono neuronal izquierda representar planteastar violentar persona sentado panel decir mujer mono neuronal decir sororidad terminar tema clase hablar igualdad derecho deber importar clase punto suponer política representar él diferencia incómodo contentar representar izquierda karen compartir incomodidad saber noticia noticia condena manuel borostiagar falso idea aceptar participar taller género condenar justamente poder judicializar él medida plantear país haber él aclarar diario argentino mostrar ocasión año condenar hablar periodista mencionar periodista gustar estallamiento violencia género usar aclarar puntual diáteria interesante poquito vergüenza hombre dar lección feminista acerca feminismo allá necesidad conversación ofensivo aburrido profundo esperar actor hombre dar lección feminista condición género condena acabar mostrar certificado necesidad género justamente taller género aparecer plan regalar sortear criptomoneda demostrar taller género llamar operación mediático hablar ley supersticioso rigen siglo xxi ejemplo ley identidad género travesti realidad hombre forma galileo poder astro girar tierra tipo avance pregunta querer haber responder mostrar certificado tepenaya cualquiera descargar mujer desafío responder mujer mujer lesbiano pene actitud socialmente atrevido hombre tiempo machismo internalizado sector mujer pudistar aclarar mira mostrartir mujer aclar acusación violencia persona trans absoluto mujer mujer responder mujer mara responder mujer responder mujer interesar distinto interés interesar hablar demostrastar machirulé mujer mujer mujer seguir tema pauta muchacha ayudar preocupar debate allá moer poquito teórico filosófico principio violentar notablemente panelista derecho llamar libertad expresión derecho garantizado constitución derecho humano garantizado libertad expresión capacidad derecho recibir opinión información censura previo censura previo mediación libertad expresión libertad previo comunicación elección vién gonzalo decir hablar tema histórico feminista mujer decir poder censurar él querer partamos venir hombre referir tema sexo volver siglo xvi libertad expresión hablarte tema favor avance democracia liberal igualdad ley empezar censura previo libertad expresión falta constitución falta derechos humanos impresentable razón sexo alguien censurar alguien inacceptable canal televisión operación programa operación político defender pausen hablar dígalo dígalo quería retomar tema fernando pausen relación tema hermosillo convocar dividir atención principio haber ver relación fernando pausen luis hermosilla relación familiaridad familia padrino señalar renato garín interesante indagar relación parecer profesional existir fernando pausen luis hermosilla haber operar bufet abogado luis hermosilla hacer yo cuestionamiento renato garín rol fernando pausen bufet luis hermosilla poder comentar él ah comentar comentar indecir movido problema vuelta meter ug pasar maduro dios cabello designar ministro interior justicia régimen venezolano impactante,es,0,1166
2024-03-09,debate_de,36300,querer aprender debatir tién debatir debatir enojo desespera ver argumento favorecer admitámoslo persona enojar debate ver esperar situación diálogo discusión dejar ira debatir esforzar atacar persona argumento ojo tema peligroso realidad ganar debate dedicar él insultar frente estrategia partir decidir ganar debate argumento persona ver muestra desacredita frente gana peligroso tipo debate dishonesto persona pretender escuchar tema estar ocupar ganar debate tacharte alguien debatir malo persona debatir pretender saber él conceder creer debate pelea box conceder válido argumentar darno argumento caso tener querer aprender debatir síguemir contenido filosófico,es,0,88
2024-07-30,lo_malo_de_mexico,22400,chingado pasar fútbol mexicano tipo mamada preferir llevar él niño argentino comida supuesto estrella nacional cruz azul demandar huesca tribunal fifa aec atena acusar chantaje monterrey valer pa puro madre diz podcast golpe santo patrón caudismo huevot temer aceptar representante controlar fútbol mexicano comprometer entrenador traer apadrinado equipo afán bisné faltar precisar mafioso red promotor directivo técnico generar millón inflar jugador nacional internacional transacción club cubrir expectativa económico jugar balón cadena parásito buscar mochado gustar tamaño rebanada pastel avientar patético berrinch ver europa sudamérico bajar pendejo bendeumos,es,0,87
2023-11-28,lo_malo_de_iphone,145700,tenés iphone 11 malo noticia aplocéatad dejar actualización quedar año actualizar ios 18 venir cargado función inteligencia artificial procesador a13 bionic iphonir 11 soportar tenés amigo iphone 11 compartid vídeo pierda vos tenés iphone 11 momento cambiar él poder cambiar telmax dano like seguidno perdertir,es,0,45
2023-08-31,crítica_de,178700,holar botellita polocritico criticarer amor supistar entender corazón hubistar valor escucha cerca cuino afuera ir desaparezco llorar dser probable harescir pierdo ástimo adiós destilar agorar ástimo adiós destilar,es,0,28
2022-09-04,#reseña,824900,serie pa pasar historia raro ver vida historia 100% real wild wild country cagar década 70 líder culto bhagwan shri rajnish convertir gurú rico gente adinerado parte planeta viajar india escuchar enseñanza tipo participar sesión llamar meditación dinámico mostrar él meditación parte poder desvestir él ruido animal golpear revolcar él piso dormir coger práctica vuelto culto religioso traer bhagwan atención gobierno india 1981 agarrar comuna llevar pueblo antilope oregon pueblito vivir exagerar 50 persona llegar ciento seguidor gurú india vestido rojo parecer huevo hacer sesión meditación perro rechazo local tratar involucrar ley respuesta comuna bhagwan recurso legal necesario validar él ciudad independiente cosa hablar grado punto pueblante amerenar salmonella tipo tratado manipular elección traer mil persona vivir calle parte país llevar cabo gigantesco frado migratorio lavar dinero bhagwan coleccionar rolls royce decir fracción historia insistir 100% real cabrón cuento mundo verga culto güey construir especie ciudad autosustentable sumar grupo vecino ultraconservador principio armar pedo claramente xenofobia tener razón querer pinche culto compa juntar hambre gana comer titular cultura general verga raro momento involucrar fbi hijo fundador nike nike pronunciar vivir pueblo participar elección bhagwan culto pasar unido 80 tipo responsable claramente exprimeir dinero comuna pagar reloj millón dólares lujo cambiar él nombre poner él vender libro predicar mamada osho way conocer alguien libro osho osho bhagwan shri rajnish líder culto establecer oregon 1981 ficción inverosímil tener sentido decir mamado pasar capítulo serie trepa intensidad ejemplo realidad superar ficción tomar postura puro morbo neta ver serie leyenda legendar episodio jolla,es,0,249
2022-06-17,lo_malo_de_ipn,10,platicir malo experiencia tener doctora maricela martínez colonar trabajar segre poli consulta tirar teléfono tiempo rey comida esposo reclutar malo atender empezar atender tío tío cáncerir 2018 preguntar tío ricardo cínomar preguntar doctora ver complicado gente haber calmar suerte tipo cáncer seguir consulta momento ricardo preguntar pregoveniente avisar médico tratante criminado presencia médico plenar tratamiento alguien preguntar decir querer producto,es,0,60
2022-08-28,lo_malo_de_ipn,2381,semestre prueba diz ajá realmente experiencia personal pasar materia ajá ajá entender profesor pesado forma explicar forma evaluar complicado profesor plana enseñar comisaria interprova profesor empezar explicartir ejercicio ir terminar ay equivoqué ver ok semestre onda decir ok tién consciente momento pensar cambiar carrera decir par mitad materia mitad semestre sentir superperlido enterar materia semestre prueba decir ok pasar materia pasar 80% obviamente entender nivel escuela valer seguir buscar carrera quedo perder tiempo llegar spam invitar papás padre torre junta ir papás entrar hijo venir 9 10 vocacional diga hijo genio reclamar hijo reprobar materia carrera 4 año durar 99% acero ajá desmotiven hijo regañir vengar reclamarno hijo recobrar pasar mamá oir reprobaril él pedir metido ajá padre hacer previo padre padre toor apoyo motivar buscar opción comprenderte ayudar comprender emocionalmente ajá justo,es,0,133
2020-10-03,lo_malo_de_mexico,868900,carmen reyes venezolano recientemente méxico país ofender rapidísimo encantar meter él país decirno corrupto muerto hambre ofender insultar virgencite guadalupe perdonar pagar coyot cruzar frontera mejor oportunidad mexicano unidos ilegal jardinero dar él calidad vida familiar mexicano comida mexicano saber horrible arepa déjame decirte variedad patrimonio humanidad comida mexicano ofendistir ofender 126 millón mexicano chingo,es,0,55
2021-04-12,#reseña,69400,película satanizar hombre hombre salir película culero protagonista cazar hombre aparecer historia estar dispuesto llevar él mujer inconsciente casa único salir molde arrepientir portar compensar historia experiencia hombre hombre chingadera salir película tomar personal,es,0,34
2024-04-26,lo_malo_de_iphone,7400,analizar teléfono tener iphone xs coño hermano iphone xs año 2024 recomeir principio ventaja batería márico batería durar pan 4 5 hora tener porcentaje 90% durar coño x xs literalmente cambiar estúpido cámara frontal calidad trasera graeta trato xr mil literalmente enfocar tener idea general teléfono dispositivo juego aplicación malo venir 64 128 256 obviamente recomendar 256 ronas poquito compro equilibrado teléfono gente déjelir comentario literalmente teléfono poquito antiguo tener derecho cambiar él fino criticar único ventaja teléfono batería coño márico batería dolor cabeza,es,0,84
2024-06-22,lo_malo_de_uam,32900,tratar dejen tratar yo acostumbrado escupar patenguir,es,0,7
2024-09-20,#opinion,1580,famoso persona monte emprendimiento mundo wow personar verra hecho pa creativo innovadoro comprar él pendiente lanzamiento pendiente producto caro barato costoso comprar persona vender miran lechaber flores poder pa vecino alguien familia amigo matar emprendimiento empezar comentario negativo emprendedor época emprender producto sacar malo pena comprar él persona famoso reconocido salir vídeo hablar producto tomar like tomar comentario vecino vídeo mostrar producto red social cringe vergüenza mirar hablar red social mostrar producto mirar patético ridículo decir vender postre vender ropa pócritar alabamo persona derecho persona reconocido derecho generar ingreso extra empresa cambiant persona persona ofrecerte pijama ofrecerte bolso ofrecerte tenis ofrecerte cosa plata va centro comercial creadora contenido sacar línea maquillaje comprar decir compra famoso sociedad gustar gente,es,0,118
2022-06-23,#opinion,10500,mgtow genuinamente mujer igual genuinamente conocer mujer operar mecanismo mayoría premisa mgtow mayoría abismal valer pena arriesgar él relacionar él siquiera acercar él responsable hombre colectivamente malcreamo hombre colectivamente tocar enseñarl camino hombre tocar replantear dinámica abandonarla malcreada aparte gingo comportar nazi,es,0,42
2023-06-27,lo_malo_de_uam,304600,honestamente doc preocupado cielo sobrepoblar pura pendejada semana submarino bajar huell llegar mil noveciento diz cielo hiciste ser pensant fallé padre sentir pendejo doc ayer huey pasar pera dosciento ochenta saber decir realmente querer dio entender sentir verga doc,es,0,39
2022-06-06,#reseña,819500,video criticar película serie gustar caer tono solito leer pregunta atendámosla suponer película ver acercar él pantalla suponer película ver dividir él gustar hablar diagrama hablar gratis preguntar necesidad cagar yo película hablar sentir salir duda pasar cosa gente pedir cable ejemplo estreno importante hablar película gustar decir directamente video pedir decir cagar yo trabajo alguien primordialmente hablo sensación gustar falacia peluquín falacia peluquín peluquín ver falso peluquín ver ver falso ok peluquín parecer pelo natural distir peluquín formar estudio importante película gustar tratar poner yo zapato alguien gustar convencido público película poder unánimamente mierda película fan fan importante derecho disfrutar película mierda tocar hablar película trato encontrarl virtud hablar pasar película sentir tratar describir experiencia película alguien interesar experiencia ver él culerar película traza trabajo gigantesco escritor productor camarógrafo cocinero maquillista chingo gente sumar chingo trabajo escena pasar evitar cagarme trabajo persona evitar importante gente entender él gusto mamar comentario gustar recomendastar seguro pagar ocurrir gustar cosa guat entender salir duda seguir decir gustar gustar sensación cosa hablar gustar acuérdense palacia peluquín,es,0,173
2024-10-07,#opinion,208800,popular opinión novio españa novio españa peor mundo decir vayar país vaya hombre caballero mujer españa visto país mundo hombre protege provee relación mujer simplemente disfruto españa tema político piso novio españa princesita querer cosa hacer sentar estás tonto estás tonto decir mayoría exigir sentido,es,0,45
